1/1/2012	0.03
1/2/2012	0
1/3/2012	0.01
1/4/2012	0
1/5/2012	0
1/6/2012	0
1/7/2012	0
1/8/2012	0
1/9/2012	0
1/10/2012	0
1/11/2012	0
1/12/2012	0.08
1/13/2012	0.22
1/14/2012	0.01
1/15/2012	0
1/16/2012	0
1/17/2012	0.99
1/18/2012	0
1/19/2012	0
1/20/2012	0
1/21/2012	0.06
1/22/2012	0
1/23/2012	1.13
1/24/2012	0
1/25/2012	0
1/26/2012	0.51
1/27/2012	0.36
1/28/2012	0.07
1/29/2012	0
1/30/2012	0
1/31/2012	0
2/1/2012	0.01
2/2/2012	0
2/3/2012	0
2/4/2012	0.25
2/5/2012	0.16
2/6/2012	0
2/7/2012	0
2/8/2012	0.06
2/9/2012	0
2/10/2012	0
2/11/2012	0.06
2/12/2012	0
2/13/2012	0
2/14/2012	0.14
2/15/2012	0
2/16/2012	0.25
2/17/2012	0
2/18/2012	0
2/19/2012	0
2/20/2012	0
2/21/2012	0.12
2/22/2012	0.01
2/23/2012	0.01
2/24/2012	0.03
2/25/2012	0
2/26/2012	0
2/27/2012	0
2/28/2012	0
2/29/2012	0.15
3/1/2012	0
3/2/2012	0
3/3/2012	0.54
3/4/2012	0.01
3/5/2012	0.03
3/6/2012	0
3/7/2012	0
3/8/2012	0.12
3/9/2012	0.02
3/10/2012	0
3/11/2012	0
3/12/2012	0.1
3/13/2012	0
3/14/2012	0
3/15/2012	0
3/16/2012	0
3/17/2012	0
3/18/2012	0.18
3/19/2012	0
3/20/2012	0
3/21/2012	0
3/22/2012	0
3/23/2012	0.06
3/24/2012	0.35
3/25/2012	0
3/26/2012	0
3/27/2012	0
3/28/2012	0
3/29/2012	0
3/30/2012	0.04
3/31/2012	0
4/1/2012	0.36
4/2/2012	0
4/3/2012	0
4/4/2012	0
4/5/2012	0
4/6/2012	0
4/7/2012	0
4/8/2012	0
4/9/2012	0
4/10/2012	0
4/11/2012	0
4/12/2012	0
4/13/2012	0
4/16/2012	0.64
4/17/2012	0
4/18/2012	0
4/19/2012	0
4/20/2012	0
4/21/2012	0.16
4/22/2012	0
4/23/2012	0
4/24/2012	0
4/25/2012	0
4/25/2012	0
4/26/2012	0
4/26/2012	0
4/27/2012	0
4/27/2012	0
4/28/2012	0.01
4/28/2012	0.05
4/29/2012	0
4/29/2012	0.01
4/30/2012	0.85
4/30/2012	0.87
5/1/2012	0.08
5/1/2012	0.1
5/2/2012	1.64
5/2/2012	0.79
5/3/2012	0
5/3/2012	0
5/4/2012	0
5/4/2012	0
5/5/2012	0
5/5/2012	0.01
5/6/2012	0
5/6/2012	0
5/7/2012	0.58
5/7/2012	0.57
5/8/2012	0
5/8/2012	0.02
5/9/2012	0
5/9/2012	0
5/10/2012	0
5/10/2012	0
5/11/2012	0
5/11/2012	0
5/12/2012	0
5/12/2012	0
5/13/2012	0
5/13/2012	0
5/14/2012	0
5/14/2012	0
5/15/2012	0
5/15/2012	0
5/16/2012	0
5/16/2012	0
5/17/2012	0
5/17/2012	0
5/18/2012	0
5/18/2012	0
5/19/2012	0
5/19/2012	0
5/20/2012	0
5/20/2012	0
5/21/2012	0.49
5/21/2012	0.6
5/22/2012	0
5/22/2012	0
5/23/2012	0
5/23/2012	0
5/24/2012	0
5/24/2012	0
5/25/2012	0
5/25/2012	0
5/26/2012	0
5/26/2012	0
5/27/2012	0
5/27/2012	0
5/28/2012	0
5/28/2012	0
