STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,10/17/2012,0
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,10/18/2012,0.41
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,10/19/2012,0.13
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,10/20/2012,0.29
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,10/21/2012,0
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,10/22/2012,0
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,10/23/2012,1.35
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,10/24/2012,0.07
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,10/25/2012,0
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,10/26/2012,0.4
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,10/27/2012,0
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,10/28/2012,0
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,10/29/2012,0
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,10/30/2012,0
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,10/31/2012,0
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,11/1/2012,0
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,11/2/2012,0
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,11/3/2012,0.06
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,11/4/2012,0.01
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,11/5/2012,0
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,11/6/2012,0
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,11/7/2012,0.13
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,11/8/2012,0
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,11/9/2012,0
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,11/10/2012,0
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,11/11/2012,0
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,11/12/2012,0.73
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,11/13/2012,0
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,11/14/2012,0
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,11/15/2012,0
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,11/16/2012,0
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,11/17/2012,0
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,11/18/2012,0
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,11/19/2012,0
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,11/20/2012,0
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,11/27/2012,0
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,11/28/2012,0
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,11/29/2012,0
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,11/30/2012,0
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,12/4/2012,0.25
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,12/5/2012,0.1
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,12/11/2012,0
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,12/12/2012,0
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,12/13/2012,0
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,12/14/2012,0
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,12/15/2012,0.2
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,12/16/2012,0.03
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,12/17/2012,0.01
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,12/18/2012,0.07
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,12/19/2012,0
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,12/20/2012,0.71
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,4/4/2013,0
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,4/5/2013,0
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,4/6/2013,0
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,4/7/2013,0
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,4/8/2013,0.03
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,4/9/2013,0.03
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,4/10/2013,0
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,4/11/2013,2.66
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,4/12/2013,0.05
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,4/13/2013,0.01
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,4/14/2013,0.05
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,4/15/2013,0
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,4/16/2013,0.7
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,4/17/2013,0.6
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,4/18/2013,0.07
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,4/19/2013,2
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,4/20/2013,0.05
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,4/22/2013,0
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,4/23/2013,0
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,4/24/2013,0.65
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,4/25/2013,0.06
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,4/26/2013,0
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,4/27/2013,0
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,4/28/2013,0.43
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,4/29/2013,0.02
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,4/30/2013,0
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,5/1/2013,0
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,5/2/2013,0
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,5/3/2013,0.25
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,5/4/2013,0.06
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,5/5/2013,0.16
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,5/6/2013,0.02
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,5/7/2013,0
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,5/8/2013,0
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,5/9/2013,0
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,5/10/2013,0.9
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,5/11/2013,0.01
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,5/13/2013,0
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,5/14/2013,0
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,5/15/2013,0
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,5/16/2013,0
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,5/20/2013,0
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,5/21/2013,0.4
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,5/22/2013,0.01
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,5/25/2013,0
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,5/26/2013,0.36
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,5/27/2013,0.35
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,5/28/2013,0.2
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,5/29/2013,0.04
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,5/30/2013,0
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,5/31/2013,0.33
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,6/1/2013,0.95
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,6/2/2013,0.23
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,6/3/2013,0.02
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,6/4/2013,0
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,6/6/2013,0
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,6/7/2013,0
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,6/8/2013,0
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,6/9/2013,0
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,6/10/2013,0.02
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,6/11/2013,0
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,6/12/2013,0
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,6/13/2013,0.03
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,6/14/2013,0
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,6/15/2013,0
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,6/16/2013,0.26
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,6/18/2013,0
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,6/19/2013,0
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,6/20/2013,0
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,6/21/2013,0
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,6/22/2013,0.07
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,6/28/2013,0
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,6/29/2013,0.08
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,6/30/2013,0.28
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,7/1/2013,0.02
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,7/3/2013,0.28
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,7/4/2013,0.12
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,7/5/2013,0.01
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,7/6/2013,0
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,7/8/2013,0
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,7/9/2013,0
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,7/10/2013,0
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,7/11/2013,1.15
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,7/17/2013,0
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,7/18/2013,0
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,7/20/2013,0
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,7/21/2013,0
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,7/22/2013,0.64
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,7/23/2013,0.09
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,7/24/2013,0
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,7/25/2013,0
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,7/26/2013,0
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,7/27/2013,0.04
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,7/28/2013,0
US1ILCP0094,"CHAMPAIGN 0.9 NE, IL US",40.121,-88.2504,233.5,7/30/2013,0
